State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel,Year
Alabama,1300,1500,31800,0,509500,17000,0,0,0,3733700,135900,46000,2018
Alaska,500,300,5400,0,62000,3700,0,0,0,484900,41000,16100,2018
Arizona,12600,7700,102000,0,533600,15500,0,0,0,5061900,196300,103700,2018
Arkansas,600,800,20300,0,370600,9200,0,0,0,2070200,101700,18100,2018
California,273500,215000,1085300,0,1615200,77700,0,9400,300,28646700,761600,129800,2018
Colorado,12500,7400,84700,0,420500,13500,0,0,0,4278900,236200,78200,2018
Connecticut,5000,5200,45100,0,188100,2500,0,0,0,2643300,54000,28200,2018
Delaware,800,1200,12300,0,80700,1200,0,0,0,758500,17000,6900,2018
District of Columbia,1100,1000,13900,0,23500,200,0,0,0,291000,2600,1100,2018
Florida,27400,17400,226900,0,1423900,15500,0,0,0,14541500,386500,135600,2018
Georgia,15900,7000,97100,0,852500,23400,0,0,0,7500000,230100,104100,2018
Hawaii,6600,2400,24800,0,52100,1100,0,0,0,969000,17800,6900,2018
Idaho,1100,1100,19600,0,136900,11200,0,0,0,1426000,138400,26300,2018
Illinois,13600,9900,163800,0,1110700,14800,0,0,0,8631200,200800,89600,2018
Indiana,3400,4100,64000,0,698200,16100,0,0,0,4881200,168300,73400,2018
Iowa,1100,2000,30700,0,430600,11200,0,0,0,2397500,115300,72800,2018
Kansas,1700,1800,29600,0,295700,12100,0,0,0,2087000,94500,32400,2018
Kentucky,1200,1500,35800,0,414300,13200,0,0,0,3308700,123600,41100,2018
Louisiana,900,900,19000,0,539200,9500,0,0,0,3034700,158400,32200,2018
Maine,800,1800,19600,0,132700,1400,0,0,0,1006500,31100,11700,2018
Maryland,8400,8400,95300,0,389100,4900,0,0,0,4075000,104600,40700,2018
Massachusetts,10300,11600,107000,0,387200,2600,0,0,0,4667700,74200,37500,2018
Michigan,4200,12300,79000,0,1351800,15300,0,0,0,6879900,285300,70300,2018
Minnesota,4900,4800,71000,0,660700,10700,0,0,0,4078700,138800,42600,2018
Mississippi,300,500,13600,0,342300,6300,0,0,0,2125900,89700,15000,2018
Missouri,3500,4200,98600,0,744500,17800,0,0,0,4638300,212900,60600,2018
Montana,500,400,10000,0,123700,4400,0,0,0,729000,89600,18400,2018
Nebraska,900,1000,16800,0,246300,8400,0,0,0,1474400,84200,34000,2018
Nevada,5100,2900,37300,0,171800,6200,0,0,0,2005700,90600,32800,2018
New Hampshire,1200,2000,20700,0,124700,1400,0,0,0,1145600,33600,15800,2018
New Jersey,13400,10800,89200,0,540100,3800,0,0,0,6333400,109700,50700,2018
New Mexico,1300,1300,25000,0,183700,6900,0,0,0,1478700,100000,33500,2018
New York,15500,24300,173200,0,1003900,7800,0,0,0,9967300,184600,107000,2018
North Carolina,7300,6500,119400,0,791100,22300,0,0,0,7205800,229300,99200,2018
North Dakota,100,200,3700,0,133300,4300,0,0,0,560300,54700,15900,2018
Ohio,6400,7200,104900,0,1075400,17600,0,0,0,8725900,220800,96000,2018
Oklahoma,3700,1300,27800,0,629100,17100,0,0,0,3204200,178300,64500,2018
Oregon,13800,8400,96300,0,210600,13500,0,0,0,3177400,238000,85700,2018
Pennsylvania,8000,9500,114800,0,893300,11900,0,0,0,8661000,227000,77500,2018
Rhode Island,700,1200,12400,0,55500,600,0,0,0,792000,13200,7800,2018
South Carolina,2000,2200,43800,0,462200,14100,0,0,0,3906000,112500,61700,2018
South Dakota,200,300,6300,0,135300,5000,0,0,0,689100,62000,21600,2018
Tennessee,3900,2900,59200,0,567600,19100,0,0,0,5059400,164100,55600,2018
Texas,24500,14700,227700,0,3005900,51300,0,0,0,18453800,1019300,175300,2018
